sort v2024,species_code,Clements v2024b change,text for website v2024b,category,English name,scientific name,range,order,family,extinct,extinct year,sort_v2023,de_name,es_name,ukrainian_name,ar_name
6270,somcou1,,,species,Somali Courser,Cursorius somalensis,,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6290,Somalischer Kiebitz,Cursorio de Somalia,Сомалійський курганник,كورسر الصومال
6271,somcou2,,,subspecies,Somali Courser,Cursorius somalensis somalensis,Eritrea to Ethiopia and Somalia,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6291,Somalischer Sandläufer,Correlimos somalí,Сомалійський курганник,الطائر الرملية الصومالية
6272,somcou3,,,subspecies,Somali Courser,Cursorius somalensis littoralis,"far southeastern South Sudan, northern Kenya, and southern Somalia",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6292,Somalischer Sandläufer,Correlimos somalí,Сомалійський курганник,الطائر الرملي الصومالي
6273,burcou2,,,species,Burchell's Courser,Cursorius rufus,"semidesert of southwestern Angola to Namibia, Botswana, and South Africa",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6293,Burchell-Kursord,Cursore de Burchell,Курсор Бурчеля,كورسر بورشيل
6275,rocpra1,,,species,Rock Pratincole,Glareola nuchalis,,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6301,Felspratincole,Pratincole de collar,Скельний прятник,بَجَعَة الصَّخْر
6276,rocpra2,,,group (monotypic),Rock Pratincole (Rufous-naped),Glareola nuchalis liberiae,Sierra Leone to western Cameroon,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6302,Nacktnacken-Kiebitz,Chorlito de nuca negra,Кулик-водоріз нухалевий,طائر النحام ذو العنق الأسود
6277,rocpra3,,,group (monotypic),Rock Pratincole (White-naped),Glareola nuchalis nuchalis,"Chad to Ethiopia and southward to Zambia, Namibia, and Mozambique",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6303,Nacktnacken-Regenpfeifer,Chorlitejo de cuello negro,Кулик-водоріз нухалевий,طائر النحام ذو العنق الأسود
6278,auspra1,name change - sciname; sequence,Change generic name from Stiltia isabella to Glareola isabella; Modify linear sequence of Glareolidae to align with Cerny and Natale (2023),species,Australian Pratincole,Glareola isabella,Australia; winters to southern New Guinea and Greater Sundas,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6300,Australische Pratincole,Pratincole australiana,Австралійська прятка,بَجَعَة أُسترالية
6279,grypra1,,,species,Gray Pratincole,Glareola cinerea,"rivers of Mali to Cameroon, western Democratic Republic of the Congo, and northwestern Angola",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6304,Graufischer,Pratincole gris,Сірий пронурок,الباتروس الرمادي
6280,smapra1,,,species,Small Pratincole,Glareola lactea,eastern Afghanistan and Pakistan to India and Indochina,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6305,Kleine Pratincole,Pratincole pequeña,Мала прятка,الباترا الصغيرة
6281,madpra1,,,species,Madagascar Pratincole,Glareola ocularis,Madagascar; winters coastal Somalia to northern Mozambique,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6314,Madagaskar-Pratincole,Pratincole de Madagascar,Мадагаскарська прятка,بَجَعَة مَدغَشْقَر
6282,colpra,,,species,Collared Pratincole,Glareola pratincola,,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6308,Halsband-Pfuhler,Pratincole collarada,Кулік-сорокопуд коларний,الباتروس ذو الطوق
6283,colpra1,,,subspecies,Collared Pratincole,Glareola pratincola pratincola,southern Europe to Pakistan; winters sub-Saharan Africa north of 5°N,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6309,Wiesenweihe,Chorlito de collar,Кулика лугового,طائر السُّوَيْدَة
6284,colpra2,,,subspecies,Collared Pratincole,Glareola pratincola erlangeri,coastal plains of southern Somalia and northern Kenya,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6310,Wiesenralle,Rascón de alas largas,Розовий рибалочка,طائر السلاحف
6285,colpra3,,,subspecies,Collared Pratincole,Glareola pratincola fuelleborni,"Senegal to southern Kenya, Democratic Republic of the Congo, Namibia, and eastern South Africa",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6311,Wiesenknick,Chorlito de campo,Кулика польового,طائر الحُبّار
6286,blwpra1,,,species,Black-winged Pratincole,Glareola nordmanni,Romania to southwestern Russia and northern Kazakhstan; winters to South Africa,Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6307,Schwarzflügelige Pratincole,Pratincole de alas negras,Протичка чорнокрила,الباتروس الأسود الأجنحة
6288,oripra,,,species,Oriental Pratincole,Glareola maldivarum,"eastern Asia; winters India to southeastern Asia, Philippines, and Australasia",Charadriiformes,Glareolidae (Pratincoles and Coursers),,,6306,Orientalische Pratincole,Pratincole oriental,Східна прятка,الباترا الشرقية
6292,sterco1,,,family,Skuas and Jaegers,Stercorariidae,,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6317,Skua und Jaeger,Skúas y Jaegers,Скуа та Ягер,السكوا والياجر
6293,lotjae,,,species,Long-tailed Jaeger,Stercorarius longicaudus,,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6318,Langschwanzskua,Jaeger de cola larga,Довгопалий ягер,جاكر ذيل طويل
6294,lotjae1,,,subspecies,Long-tailed Jaeger,Stercorarius longicaudus longicaudus,northern Scandinavia and Russia; winters to southern South America and South Africa,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6319,Langschwanz-Sturmvogel,Págalo de cola larga,Довгокрилий буревісник,عقاب البحر طويل الذيل
6295,lotjae2,,,subspecies,Long-tailed Jaeger,Stercorarius longicaudus pallescens,Arctic North America and Siberia; winters to southern South America and South Africa,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6320,Langschwanz-Sturmvogel,Págalo de cola larga,Довгокрилий буревісник,عقاب البحر طويل الذيل
6296,parjae,,,species,Parasitic Jaeger,Stercorarius parasiticus,"breeds Holarctic low Arctic tundra, locally high Arctic and subarctic, from western and southern Greenland, Iceland, northern Scotland, and Scandinavian coasts including Baltic Sea, Svalbard (north of Norway), northern Russia to northeastern Siberia and Kamchatka, Aleutian and Bering Sea islands, western and southwestern Alaska, Arctic Canada (except northern high Arctic islands) to Baffin Island and east-central Canada; winters to high-productivity subtropical to tropical coastal waters of southern continents, in coastal waters of Africa, Persian Gulf, eastern coast of Arabian Sea (western India and Sri Lanka), northern Indian Ocean, Australia, and New Zealand, Peru, Chile, and east-central Argentina",Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6321,Parasitjaeger,Págalo parásito,Паразитний жайворон,جاكر الطفيلي
6298,pomjae,,,species,Pomarine Jaeger,Stercorarius pomarinus,"breeds Holarctic high Arctic tundra, erratically off southwestern Greenland, Svalbard (nesting unconfirmed; north of Norway), northwestern to northeastern Arctic Russia (including many high Arctic islands), high Arctic of northern Alaska and southwestern Alaska mainland, and Arctic Canada to Baffin Island (northeastern Canada); winters to temperate to tropical coasts and offshore waters worldwide",Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6323,Pomarine Skua,Págalo pomarino,Поморник звичайний,جاكر البومار
6301,gresku1,,,species,Great Skua,Stercorarius skua,"breeds Iceland, Faroe Islands, Ireland, Scotland, Norway, Svalbard (north of Norway), and northwestern Russia to Novaya Zemlya; winters North Atlantic Ocean offshore waters to central Gulf Stream of New England to North Carolina, northeastern Brazil, North Sea to Iberian Peninsula, Macaronesia, western Africa, and western Mediterranean",Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6326,Großer Skua,Skuá grande,Великий скауа,سكواء عظيم
6302,chisku1,,,species,Chilean Skua,Stercorarius chilensis,coasts of southern Chile and southern Argentina; ranges north to tropics,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6327,Chilenischer Skua,Skúa chilena,Чилійський скауа,سكواء تشيلي
6303,brnsku3,,,species,Brown Skua,Stercorarius antarcticus,,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6328,Braunskua,Skúa parda,Коричнева скуа,سُكُوَة بُنِّيَة
6304,brnsku1,,,group (monotypic),Brown Skua (Subantarctic),Stercorarius antarcticus lonnbergi,Antarctic Peninsula and circumpolar subantarctic southern ocean islands,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6329,Antarktischer Skua,Skúa antártica,Антарктичний скаут,سكيوا أنتاركتيكي
6305,sousku1,,,group (monotypic),Brown Skua (Falkland),Stercorarius antarcticus antarcticus,Falkland Islands and southeastern Argentina; winters off southeastern South America,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6330,Antarktischer Skua,Skúa antártica,Антарктичний скауа,سكيوا أنتاركتيكي
6306,brnsku2,,,group (monotypic),Brown Skua (Tristan),Stercorarius antarcticus hamiltoni,Tristan da Cunha and Gough Island,Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6331,Antarktischer Skua,Skúa antártica,Антарктичний скаут,سكيوا أنتاركتيكي
6307,sopsku1,,,species,South Polar Skua,Stercorarius maccormicki,"breeds coastal Antarctica, especially Ross Sea; also South Shetland and South Orkney islands (off Antarctic Peninsula); winters to northern offshore waters and North Indian Ocean: mostly clockwise to Japanese and Korean waters (western North Pacific) and Gulf Stream of eastern USA (western North Atlantic), then southwestern Canada to northern Baja California and northwestern Africa",Charadriiformes,Stercorariidae (Skuas and Jaegers),,,6332,Südpolar-Stubenraube,Skúa polar austral,Південний полярний скакун,سكيوا قطبي جنوبي
6311,alcida1,,,family,"Auks, Murres, and Puffins",Alcidae,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6336,Alken,Alcas,Альки,البفنات
6312,rhiauk,,,species,Rhinoceros Auklet,Cerorhinca monocerata,eastern Asia and western North America; winters to Baja California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6337,Nashorn-Auklet,Auklet rinoceronte,Носоріг-auklet,أوكليت وحيد القرن
6313,tufpuf,,,species,Tufted Puffin,Fratercula cirrhata,coasts and islands of northeastern Asia to Aleutians and southern California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6338,Haubenpinguin,Frailecillo de pico de palas,Тупиковий пінгвін,بفن ذو عرف
6314,atlpuf,,,species,Atlantic Puffin,Fratercula arctica,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6339,Papageitaucher,Frailecillo atlántico,Атлантичний тупик,البفن الأطلسي
6315,atlpuf1,,,subspecies,Atlantic Puffin,Fratercula arctica naumanni,northern Canada and Greenland to Spitsbergen and northern Novaya Zemlya,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6340,Papageitaucher,Frailecillo ártico,Папуганчик арктичний,البطريق الأطلسي
6316,atlpuf2,,,subspecies,Atlantic Puffin,Fratercula arctica arctica,"Baffin Island to Maine, Scandinavia, and southern Novaya Zemlya",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6341,Papageitaucher,Frailecillo atlántico,попугайчик атлантичний,الببغاء الأطلسي
6317,atlpuf3,,,subspecies,Atlantic Puffin,Fratercula arctica grabae,"Faroe Islands, southern Scandinavia, and British Isles to northwestern France",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6342,Papageitaucher,Frailecillo atlántico,Тупик атлантичний,البفن الأطلسي
6318,horpuf,,,species,Horned Puffin,Fratercula corniculata,eastern Siberia and northwestern North America; winters to Japan and southern California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6343,Hornschnepfe,Frailecillo cornudo,Рогатий тупик,البفن ذو القرون
6320,casauk,,,species,Cassin's Auklet,Ptychoramphus aleuticus,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6345,Cassin-Auklet,Auklet de Cassin,Ауклет Касіна,أوكليت كاسين
6321,casauk1,,,subspecies,Marbled Murrelet,Ptychoramphus aleuticus aleuticus,Aleutian Islands and Alaska to northern Baja California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6346,Aleuten-Rabenkrähe,Cuervo de Aleutianas,Алеутська ворона,غراب أليوت
6322,casauk2,,,subspecies,Marbled Murrelet,Ptychoramphus aleuticus australis,central Baja California (San Benito to Asunción and San Roque islands),Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6347,Alaska-Küstenralle,Rascón de Alaska,Аляскій водяний курок,دراج ألاسكا
6323,leaauk,,,species,Least Auklet,Aethia pusilla,breeds eastern Siberia and western Alaska; winters southward to northern Japan,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6348,Kleinauk,Aukleta menor,Малий ауклет,أوكليت صغير
6324,whiauk,,,species,Whiskered Auklet,Aethia pygmaea,breeds eastern Siberia and Aleutian Islands; winters southward to Japan,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6349,Schnurrbart-Auklet,Auklet bigotudo,Пухнастий ауклет,أوكليت الشارب
6325,creauk,,,species,Crested Auklet,Aethia cristatella,breeds western Alaska and eastern Siberia; winters southward to Japan,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6350,Haubenauk,Alca crestada,Кремезний ауклет,أوكليت ذو القمة
6326,parauk,,,species,Parakeet Auklet,Aethia psittacula,North Pacific and Bering Sea; winters to Japan and southern California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6351,Sittich-Auklet,Alca loro,Папугоподібний ауклет,أوكليت الببغاء
6328,lobmur,,,species,Long-billed Murrelet,Brachyramphus perdix,Kamchatka Peninsula and Sea of Okhotsk to Hokkaido,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6353,Langschnabel-Murrelet,Murrelet de pico largo,Мурлет з довгим дзьобом,مُرْلَت ذو المنقار الطويل
6329,kitmur,,,species,Kittlitz's Murrelet,Brachyramphus brevirostris,Bering Sea to Gulf of Alaska; winters to Glacier Bay,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6354,Kittlitz-Murrelet,Murrelet de Kittlitz,Мурелет Кіттліца,مُرَّلَت كيتليتس
6330,marmur,,,species,Marbled Murrelet,Brachyramphus marmoratus,western Aleutian Islands and Alaska to central California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6355,Marmorierte Murrelet,Murrelet mármol,Мармуровий мурреолет,مُرْلَت مَرْمَرِيّ
6331,blkgui,,,species,Black Guillemot,Cepphus grylle,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6356,Schwarzschwimmender,Murre negro,Чорний гюльмут,الغطاس الأسود
6332,blkgui2,,,group (monotypic),Black Guillemot (mandtii),Cepphus grylle mandtii,Arctic eastern North America and Arctic northern Palearctic,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6357,Schwarzhalstaucher,Pinguino de alas cortas,Чорноголовий мартин,البطريق ذو الرأس الأسود
6333,blkgui1,,,group (polytypic),Black Guillemot (grylle Group),Cepphus grylle [grylle Group],,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6358,Schwarzmeerkäuzchen,Murre negro,Чорний гюльмут,الغطاس الأسود
6334,blkgui3,,,subspecies,Black Guillemot,Cepphus grylle arcticus,subarctic eastern North America and southern Greenland to British Isles and Scandinavia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6359,Schwarzgänsesäger,Mergulo ártico,Чорноголовий мартин,البطريق الأسود
6335,blkgui4,,,subspecies,Black Guillemot,Cepphus grylle faeroeensis,Faroe Islands,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6360,Schwarzschwanzalk,Alca común,Чорнобровий мартин,البطريق الأسود
6336,blkgui5,,,subspecies,Black Guillemot,Cepphus grylle grylle,Baltic Sea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6361,Schwarzhalstaucher,Pinguino de alas cortas,Чорноголовий мартин,طائر الغطاس الأسود
6337,blkgui6,,,subspecies,Black Guillemot,Cepphus grylle islandicus,Iceland,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6362,Schwarzgänsesäger,Mergulo de alas blancas,Чорногуз,البط الغطاس الأسود
6338,spegui1,,,species,Spectacled Guillemot,Cepphus carbo,"Kamchatka and Sea of Okhotsk to Korea, Kuril Islands, and northern Japan",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6363,Brillenalk,Alca de anteojos,Гаршнеп звичайний,البطريق ذو النظارات
6339,piggui,,,species,Pigeon Guillemot,Cepphus columba,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6364,Tordalk,Guillemot Pichón,Голубиний мартин,الغطاس الزاجل
6340,piggui2,,,group (monotypic),Pigeon Guillemot (snowi),Cepphus columba snowi,Kuril Islands,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6365,Schneehuhn,Gaviota de nieve,Снігурка,طائر الثلج
6341,piggui1,,,group (polytypic),Pigeon Guillemot (columba Group),Cepphus columba [columba Group],,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6366,Tauchergans,Pájaro bobo,Голубиний гагар,البطريق الزاجل
6342,piggui3,,,subspecies,Common Murre,Cepphus columba columba,northeastern Siberia to Bering Sea and western Alaska,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6367,Tordalk,Pinguino de alas cortas,Кам'яний мартин,البطريق ذو الأجنحة القصيرة
6343,piggui4,,,subspecies,Pigeon Guillemot,Cepphus columba kaiurka,Komandorskiye Islands to west-central Aleutian Islands,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6368,Tordalk,Pinguino de alas cortas,Кайрука,البطريق القصير الأجنحة
6344,piggui5,,,subspecies,Pigeon Guillemot,Cepphus columba adiantus,central Aleutian Islands southward to Washington,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6369,Tordalk,Pinguino de alas cortas,Кам'яний мартин,البطريق ذو الأجنحة القصيرة
6345,piggui6,,,subspecies,Pigeon Guillemot,Cepphus columba eureka,Oregon and California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6370,Eurasischer Tauchergans,Gaviota de alas negras,Голубка морська,حمامة البحر
6347,razorb,,,species,Razorbill,Alca torda,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6372,Riemenpinguin,Alca común,Тупик звичайний,البطريق المنقاري
6348,razorb1,,,subspecies,Razorbill,Alca torda torda,northeastern North America; Scandinavia to Murmansk and White Sea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6373,Tordalk,Alca común,Тупик,البطريق العادي
6349,razorb2,,,subspecies,Razorbill,Alca torda islandica,Iceland and British Isles to France; winters to Mediterranean,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6374,Eistaucher,Alca común,Грюнка,البطريق العادي
6350,greauk,,,species,Great Auk,Pinguinus impennis,"northern North Atlantic; extinct, last reported 1844",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",1,1844,6375,Großer Auk,Gran Alca,Великий аук,البطريق العظيم
6351,doveki,,,species,Dovekie,Alle alle,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6376,Dovekie,Dovekie,Довекі,دوفيكي
6352,doveki1,,,subspecies,Little Auk,Alle alle alle,"Baffin Island, Greenland, and Iceland to Novaya Zemlya",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6377,Eissturmvogel,Págalo,Крижень,طائر الجليد
6353,doveki2,,,subspecies,Brunnich's Guillemot,Alle alle polaris,Frans Josef Land to St. Lawrence Island; winters to Maine,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6378,Eissturmvogel,Págalo polar,Полярний буревісник,عقاب البحر القطبي
6354,thbmur,,,species,Thick-billed Murre,Uria lomvia,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6379,Dickbilled-Murre,Murre de pico grueso,Гарнцюк товстодзьобий,البطريق ذو المنقار السميك
6355,thbmur1,,,subspecies,Thick-billed Murre,Uria lomvia lomvia,Gulf of St. Lawrence to Greenland and Novaya Zemlya,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6380,Dickschnabellumme,Puffin de alas cortas,Громадська мартин,البطريق ذو المنقار السميك
6356,thbmur2,,,subspecies,Thick-billed Murre,Uria lomvia eleonorae,eastern Taymyr Peninsula to New Siberian Islands (Russia),Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6381,Dickschnabellumme,Murre común,Гаршнеп звичайний,البطريق العادي
6357,thbmur3,,,subspecies,Thick-billed Murre,Uria lomvia heckeri,"Wrangel Island, Herald Island, and northern Chukotsk Peninsula",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6382,Dickschnabellumme,Pinguino de alas cortas,Гаршнеп звичайний,طائر الغطاس
6358,thbmur4,,,subspecies,Thick-billed Murre,Uria lomvia arra,northern Japan and Aleutian Islands to southeastern Alaska,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6383,Dickschnabellumme,Pinguino de alas cortas,Гаршнеп звичайний,طائر الغطاس
6359,commur,,,species,Common Murre,Uria aalge,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6384,Gemeine Murre,Murre Común,Звичайний мартин,البطريق الشائع
6360,commur1,,,subspecies,Common Murre,Uria aalge aalge,"breeds in the North Atlantic, from eastern North America, Greenland, and Iceland through the Faroe Islands and Scotland to southern Norway and the Baltic Sea",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6385,Gemeiner Tordalk,Alca común,Тупик звичайний,البطريق العادي
6361,commur5,,,subspecies,Common Murre,Uria aalge hyperborea,breeds Svalbard through northern Norway and northwestern Russia eastward to Novaya Zemlya,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6386,Tordalk,Alca común,Галка звичайна,البطريق العادي
6362,commur2,,,subspecies,Common Murre,Uria aalge albionis,British Isles to western Iberian Peninsula; Helgoland,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6387,Alk,Alca común,Галка звичайна,البطريق العادي
6363,commur3,,,subspecies,Common Murre,Uria aalge inornata,"Korea, Japan, and Kamchatka to Bering Sea and British Columbia",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6388,Tordalk,Alca común,Тупик звичайний,البطريق العادي
6364,commur4,,,subspecies,Common Murre,Uria aalge californica,northern Washington to southern California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6389,Tordalk,Alca común,Галка звичайна,البطريق العادي
6368,ancmur,,,species,Ancient Murrelet,Synthliboramphus antiquus,,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6393,Alte Murrelet,Murrelete antiguo,Стародавній мурелет,المورلت القديم
6369,ancmur1,,,subspecies,Ancient Murrelet,Synthliboramphus antiquus antiquus,"eastern Asia, Aleutians, and southern Alaska; winters to California",Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6394,Alk,Alca común,Пінгвін,البطريق
6370,ancmur2,,,subspecies,Ancient Murrelet,Synthliboramphus antiquus microrhynchos,Komandorskiye Islands; winters to Ryukyu Islands (southern Japan),Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6395,Küstenralle,Rascón de pico fino,Малий рибалочка,بطريق قديم ذو منقار صغير
6371,japmur1,,,species,Japanese Murrelet,Synthliboramphus wumizusume,coasts and islands off eastern and southern Japan and South Korea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6396,Japanischer Murrelet,Murrelet japonés,Японський мурелет,مُرَّلَت يَابَانِيَّة
6372,xanmur2,,,species,Scripps's Murrelet,Synthliboramphus scrippsi,Channel Islands and islands off western coast of Baja California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6397,Scripps-Murrelet,Murrelet de Scripps,Мурлет Скріпса,مُرْلَت سكرِيبس
6373,xanmur1,,,species,Guadalupe Murrelet,Synthliboramphus hypoleucus,San Benito Island and Guadalupe Island (off Baja California),Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6398,Guadalupe-Murrelet,Murrelet de Guadalupe,Гвадалупський мурелет,مُرَّلَت غوادالوبي
6375,cramur,,,species,Craveri's Murrelet,Synthliboramphus craveri,islands in Gulf of California; disperses north to southern California,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,,6400,Craveris-Murrelet,Murrelet de Craveri,Мурелет Кравері,مُرَّلَت كرافيري
6380,larida1,,,family,"Gulls, Terns, and Skimmers",Laridae,,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6405,"Möwen, Seeschwalben und Skimmer","Gaviotas, Sternas y Rascadores","Чайки, мартинові та скіммери",النوارس، والسماميات، والسكيمر
6381,swtgul1,,,species,Swallow-tailed Gull,Creagrus furcatus,Galapagos; winters coastal Colombia to Chile,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6406,Schwalbenmöwe,Gaviota de cola de golondrina,Ластівкова мартин,نورسة ذيل السُّوَاحِب
6382,litgul,,,species,Little Gull,Hydrocoloeus minutus,northern Eurasia and northeastern North America,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6407,Zwergmöwe,Gaviota enana,Мала мартинка,نورسة صغيرة
6383,rosgul,,,species,Ross's Gull,Rhodostethia rosea,locally in Siberia and Arctic North America,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6408,Rosengull,Gaviota de Ross,Червоногрудий мартин,نورسة روس
6384,bklkit,,,species,Black-legged Kittiwake,Rissa tridactyla,,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6409,Schwarzbeiner Kittiwake,Gaviota tridáctila,Чорнолегий мартин,نورسة ثلاثية الأصابع
6385,bklkit1,name change - English,Change group names for Black-legged Kittiwake Rissa tridactyla from Black-legged Kittiwake (tridactyla) to Black-legged Kittiwake (Atlantic) and from Black-legged Kittiwake (pollicaris) to Black-legged Kittiwake (Pacific),group (monotypic),Black-legged Kittiwake (Atlantic),Rissa tridactyla tridactyla,circumpolar North Atlantic; winters to Sargasso Sea and western Africa,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6410,Dreifingermöwe,Gaviota tridáctila,Трьохпалій мартин,نورسة ثلاثية الأصابع
6386,bklkit2,name change - English,Change group names for Black-legged Kittiwake Rissa tridactyla from Black-legged Kittiwake (tridactyla) to Black-legged Kittiwake (Atlantic) and from Black-legged Kittiwake (pollicaris) to Black-legged Kittiwake (Pacific),group (monotypic),Black-legged Kittiwake (Pacific),Rissa tridactyla pollicaris,circumpolar North Pacific; winters to East China Sea and northwestern Mexico,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6411,Dreifingermöwe,Gaviota tridáctila,Трьохпалій мартин,نورسة ثلاثية الأصابع
6387,relkit,,,species,Red-legged Kittiwake,Rissa brevirostris,"Komandorskiye, Aleutian, and Pribilof islands; winters North Pacific",Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6412,Rotbeiniges Kittiwake,Gaviota de patas rojas,Кіттівака червонопала,غواص ذو أرجل حمراء
6389,ivogul,,,species,Ivory Gull,Pagophila eburnea,Arctic circumpolar (mainly associated with ice pack),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6414,Elfenbeinmöwe,Gaviota de marfil,Снігурка,نورسة العاج
6390,sabgul,,,species,Sabine's Gull,Xema sabini,,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6415,Sabines Gull,Gaviota de Sabine,Чайка Сабіна,نورسة سابيني
6391,sabgul1,,,subspecies,Sabine's Gull,Xema sabini palaearctica,Spitsbergen eastward to Taymyr Peninsula and Lena Delta,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6416,Sabinschnäbler,Chorlito de Sabine,Сабінський мартин,نورس سابيني
6392,sabgul2,,,subspecies,Sabine's Gull,Xema sabini tschuktschorum,Chukotsk Peninsula (Russia),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,,6417,Sabine-Meerraube,Gaviota de Sabine,Чайка Сабіна,نورسة سابيني
